TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Practices interview questions @career,Think about basic questions usually asked during interviews. Try find any technical question and practice it.,1,1,,,today @ 09:00,en,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,
task,Update resume or portfolio @self-improvement @career,Keep resume up-to-date in case anything happened good or bad.,2,1,,,tomorrow @ 11:00,en,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,
task,Eat fruits @health,Two bananas or apples size fruits or four plum size fruits or two cups of berries. These can provide enough daily fiber intake.,1,1,,,Everyday @ 08:00,en,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,
task,**relax time**:,,3,1,,,,,
,,,,,,,,,
task,Meditation @health @relax,Meditation can help you relax.,3,2,,,every Friday,en,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,
task,Go for a walk @health @exercise @relax,Heading south go for a walk and enjoy the surroundings.,3,2,,,every Sunday,en,
,,,,,,,,,
,,,,,,,,